Number,Ticker,Holding Name,Identifier (FIGI),Shares,Asset Class,Market Value (US$),Notional Value,% of Net Assets
52,NG US,Novagold Resources Inc,BBG000D25424,"6,367,315",Stock,"$69,913,118.70", -- ,0.59%
53,SVM US,Silvercorp Metals Inc,BBG000CY5S22,"5,723,747",Stock,"$69,257,338.70", -- ,0.58%
54,AYA CN,Aya Gold & Silver Inc,BBG000FTVZM3,"3,436,203",Stock,"$64,691,011.44", -- ,0.55%
55,WAF AU,West African Resources Ltd,BBG000R17C94,"24,612,346",Stock,"$64,616,798.28", -- ,0.54%
56,PAF LN,Pan African Resources Plc,BBG000DK30N1,"31,721,770",Stock,"$63,292,333.63", -- ,0.53%
57,VZLA US,Vizsla Silver Corp,BBG00QQ0VMJ0,"9,495,693",Stock,"$55,454,847.12", -- ,0.47%
58,ASM US,Avino Silver & Gold Mines Ltd,BBG000BMTLV6,"4,538,502",Stock,"$50,014,292.04", -- ,0.42%
59,RSG AU,Resolute Mining Ltd,BBG000BT9RX8,"48,413,786",Stock,"$47,001,313.03", -- ,0.40%
60,CYL AU,Catalyst Metals Ltd,BBG000PP0V25,"6,924,578",Stock,"$43,700,907.67", -- ,0.37%
61,KOZAL TI,Koza Altin Isletmeleri As,BBG000V2H0F5,"28,363,180",Stock,"$38,577,649.10", -- ,0.33%
62,MUX US,Mcewen Mining Inc,BBG000BW6CN8,"1,367,168",Stock,"$37,802,195.20", -- ,0.32%
63,IAUX US,I-80 Gold Corp,BBG0108B6SW2,"20,089,943",Stock,"$36,161,897.40", -- ,0.30%
64,OBM AU,Ora Banda Mining Ltd,BBG000N3DGM3,"36,779,743",Stock,"$35,357,755.28", -- ,0.30%
65,GGD CN,Gogold Resources Inc,BBG000PYQ5N2,"12,774,883",Stock,"$34,963,532.09", -- ,0.29%
66,BGL AU,Bellevue Gold Ltd,BBG000K5PKD9,"26,229,710",Stock,"$34,800,622.59", -- ,0.29%
67,KCN AU,Kingsgate Consolidated Ltd,BBG000BHSQT0,"7,609,611",Stock,"$34,745,196.38", -- ,0.29%
68,DRD US,Drdgold Ltd,BBG000BX8QF2,"947,506",Stock,"$33,626,987.94", -- ,0.28%
69,6693 HK,Chifeng Jilong Gold Mining Co Ltd,BBG01SCB35R5,"5,370,400",Stock,"$30,933,995.33", -- ,0.26%
70,PNR AU,Pantoro Gold Ltd,BBG000BWC1X4,"7,447,936",Stock,"$27,070,492.03", -- ,0.23%
71,ALK AU,Alkane Resources Ltd,BBG000BRN1P2,"23,386,992",Stock,"$26,299,137.85", -- ,0.22%
72,GROY US,Gold Royalty Corp,BBG00ZGH4798,"4,781,021",Stock,"$22,231,747.65", -- ,0.19%
73,BC8 AU,Black Cat Syndicate Ltd,BBG00JCLXFT7,"18,640,233",Stock,"$19,778,369.81", -- ,0.17%
74,KOZAA TI,Koza Anadolu Metal Madencilik Isletmele,BBG000PJ0TX0,"5,499,290",Stock,"$19,229,185.32", -- ,0.16%
75,DC US,Dakota Gold Corp,BBG0120W17D2,"2,808,820",Stock,"$18,706,741.20", -- ,0.16%
76,IDR US,Idaho Strategic Resources Inc,BBG000JLVQT9,"437,316",Stock,"$18,052,404.48", -- ,0.15%
77,MTA US,Metalla Royalty & Streaming Ltd,BBG000HM5YW7,"2,131,499",Stock,"$17,393,031.84", -- ,0.15%
78,NFG CN,New Found Gold Corp,BBG00JFFSNM3,"5,021,903",Stock,"$15,633,824.40", -- ,0.13%
79,SBM AU,St Barbara Ltd,BBG000BS4GC2,"28,216,292",Stock,"$14,808,203.05", -- ,0.12%
80,MEK AU,Meeka Metals Ltd,BBG000D2X3G0,"82,188,317",Stock,"$14,004,172.36", -- ,0.12%
81,CMCL US,Caledonia Mining Corp Plc,BBG000CQHQS2,"438,621",Stock,"$13,487,595.75", -- ,0.11%
82,GLDG US,Goldmining Inc,BBG001V9NSN1,"6,150,312",Stock,"$11,624,089.68", -- ,0.10%
83,CTGO US,Contango Ore Inc,BBG0016YSLB7,"357,848",Stock,"$11,440,400.56", -- ,0.10%
84,LUCA CN,Luca Mining Corp,BBG000CXXF85,"6,926,410",Stock,"$9,810,561.91", -- ,0.08%
85,AMI AU,Aurelia Metals Ltd,BBG000R5D3F1,"37,477,384",Stock,"$8,886,880.27", -- ,0.07%
86,FFX AU,Firefinch Ltd,BBG000Q3DTC3,"54,133,739",Stock,"$2,229,176.55", -- ,0.02%
87,BGL US,Blue Gold Ltd,BBG01VS5PZS3,"367,548",Stock,"$1,124,696.88", -- ,0.01%
88,FMR CN,Future Mineral Resources Inc,BBG006YGFKF6,"168,999",Stock,"$39,895.01", -- ,0.00%
89,NIX CN,Archer Exploration Corp,BBG00Z72DBM7,"179,304",Stock,"$31,084.39", -- ,0.00%
90,ASM AU,Australian Strategic Materials Ltd,BBG00BN4ZM13,1,Stock,$1.29, -- ,0.00%
91,VGCX CN,Victoria Gold Corp/Vancouver,BBG000BD0132,"1,722,275",Stock,$1.27, -- ,0.00%
