Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CLF","CLEVELAND CLIFFS INC","Materials","Equity","9,402,415.96","0.50","9,402,415.96","661,676.00","14.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"5706","MITSUI KINZOKU LIMITED LTD","Materials","Equity","9,368,966.53","0.50","9,368,966.53","66,200.00","141.53","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"5411","JFE HOLDINGS INC","Materials","Equity","9,014,508.13","0.48","9,014,508.13","658,100.00","13.70","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"2002","CHINA STEEL CORP","Materials","Equity","9,003,887.39","0.48","9,003,887.39","13,602,612.00","0.66","Taiwan","Taiwan Stock Exchange","USD","31.27","TWD","-"
"MIN","MINERAL RESOURCES LTD","Materials","Equity","8,826,423.62","0.47","8,826,423.62","207,247.00","42.59","Australia","Asx - All Markets","USD","1.43","AUD","-"
"PMETAL","PRESS METAL ALUMINIUM HOLDINGS","Materials","Equity","8,463,203.56","0.45","8,463,203.56","4,305,600.00","1.97","Malaysia","Bursa Malaysia","USD","3.93","MYR","-"
"2600","ALUMINUM CORPORATION OF CHINA LTD","Materials","Equity","8,261,945.34","0.44","8,261,945.34","4,290,000.00","1.93","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"SFR","SANDFIRE RESOURCES LTD","Materials","Equity","7,927,432.01","0.42","7,927,432.01","532,997.00","14.87","Australia","Asx - All Markets","USD","1.43","AUD","-"
"358","JIANGXI COPPER LTD H","Materials","Equity","7,814,153.74","0.41","7,814,153.74","1,155,000.00","6.77","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"TKA","THYSSENKRUPP AG","Materials","Equity","7,770,833.06","0.41","7,770,833.06","579,019.00","13.42","Germany","Xetra","USD","0.84","EUR","-"
"BVN","BUENAVENTURA ADR REPRESENTING","Materials","Equity","7,435,403.81","0.39","7,435,403.81","192,977.00","38.53","Peru","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMMN","AMMAN MINERAL INTERNASIONAL","Materials","Equity","7,190,435.34","0.38","7,190,435.34","16,842,212.00","0.43","Indonesia","Indonesia Stock Exchange","USD","16,747.50","IDR","-"
"1208","MMG LTD","Materials","Equity","7,173,139.42","0.38","7,173,139.42","4,923,600.00","1.46","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"NDA","AURUBIS AG","Materials","Equity","7,137,868.40","0.38","7,137,868.40","36,484.00","195.64","Germany","Xetra","USD","0.84","EUR","-"
"GGBR4","GERDAU PREF SA","Materials","Equity","6,545,141.97","0.35","6,545,141.97","1,505,800.00","4.35","Brazil","XBSP","USD","5.23","BRL","-"
"5406","KOBE STEEL LTD","Materials","Equity","6,342,736.28","0.34","6,342,736.28","434,900.00","14.58","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"SSAB B","SSAB CLASS B","Materials","Equity","5,962,073.19","0.32","5,962,073.19","733,807.00","8.12","Sweden","Nasdaq Omx Nordic","USD","8.86","SEK","-"
"VOE","VOESTALPINE AG","Materials","Equity","5,838,290.81","0.31","5,838,290.81","124,656.00","46.84","Austria","Wiener Boerse Ag","USD","0.84","EUR","-"
"HCC","WARRIOR MET COAL INC","Materials","Equity","5,607,175.92","0.30","5,607,175.92","60,888.00","92.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JINDALSTEL","JINDAL STEEL LTD","Materials","Equity","5,221,134.33","0.28","5,221,134.33","414,050.00","12.61","India","National Stock Exchange Of India","USD","91.96","INR","-"
"IGO","IGO LTD","Materials","Equity","4,716,699.68","0.25","4,716,699.68","788,557.00","5.98","Australia","Asx - All Markets","USD","1.43","AUD","-"
"APLAPOLLO","APL APOLLO TUBES LTD","Materials","Equity","4,679,129.81","0.25","4,679,129.81","209,550.00","22.33","India","National Stock Exchange Of India","USD","91.96","INR","-"
"603993","CHINA MOLYBDENUM LTD A","Materials","Equity","4,661,551.43","0.25","4,661,551.43","1,199,000.00","3.89","China","Shanghai Stock Exchange","USD","6.95","CNY","-"
"NATIONALUM","NATIONAL ALUMINIUM CO LTD","Materials","Equity","4,473,821.68","0.24","4,473,821.68","959,333.00","4.66","India","National Stock Exchange Of India","USD","91.96","INR","-"
"ERO","ERO COPPER CORP","Materials","Equity","4,298,950.20","0.23","4,298,950.20","113,795.00","37.78","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"5711","MITSUBISHI MATERIALS CORP","Materials","Equity","4,289,953.22","0.23","4,289,953.22","143,000.00","30.00","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"BRMS","BUMI RESOURCES MINERALS","Materials","Equity","4,209,235.29","0.22","4,209,235.29","65,882,400.00","0.06","Indonesia","Indonesia Stock Exchange","USD","16,747.50","IDR","-"
"5714","DOWA HOLDINGS LTD","Materials","Equity","3,842,245.56","0.20","3,842,245.56","61,400.00","62.58","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"1258","CHINA NONFERROUS MINING CORPORATIO","Materials","Equity","3,643,991.13","0.19","3,643,991.13","1,560,000.00","2.34","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"TKO","TASEKO MINES LTD","Materials","Equity","3,585,222.82","0.19","3,585,222.82","418,240.00","8.57","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"NGEX","NGEX MINERALS LTD","Materials","Equity","3,577,546.18","0.19","3,577,546.18","156,336.00","22.88","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"MTRN","MATERION CORP","Materials","Equity","3,401,538.56","0.18","3,401,538.56","23,968.00","141.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSTM","CONSTELLIUM SE CLASS A","Materials","Equity","3,377,977.47","0.18","3,377,977.47","145,791.00","23.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JSL","JINDAL STAINLESS LTD","Materials","Equity","3,364,914.49","0.18","3,364,914.49","381,972.00","8.81","India","National Stock Exchange Of India","USD","91.96","INR","-"
"NMDC","NMDC LTD","Materials","Equity","3,283,197.84","0.17","3,283,197.84","3,568,805.00","0.92","India","National Stock Exchange Of India","USD","91.96","INR","-"
"KTY","GRUPA KETY SA","Materials","Equity","3,232,766.51","0.17","3,232,766.51","11,303.00","286.01","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.53","PLN","-"
"CENX","CENTURY ALUMINUM","Materials","Equity","3,223,801.98","0.17","3,223,801.98","65,886.00","48.93","United States","NASDAQ","USD","1.00","USD","-"
"ACX","ACERINOX SA","Materials","Equity","3,201,766.29","0.17","3,201,766.29","216,969.00","14.76","Spain","Bolsa De Madrid","USD","0.84","EUR","-"
"LTR","LIONTOWN LTD","Materials","Equity","3,176,782.52","0.17","3,176,782.52","2,220,288.00","1.43","Australia","Asx - All Markets","USD","1.43","AUD","-"
"5444","YAMATO KOGYO LTD","Materials","Equity","3,042,745.44","0.16","3,042,745.44","41,300.00","73.67","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"AMR","ALPHA METALLURGICAL RESOURCE INC","Materials","Equity","2,858,747.92","0.15","2,858,747.92","12,932.00","221.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"2027","TA CHEN STAINLESS PIPE LTD","Materials","Equity","2,845,681.80","0.15","2,845,681.80","2,213,721.00","1.29","Taiwan","Taiwan Stock Exchange","USD","31.27","TWD","-"
"HILS","HILL AND SMITH PLC","Materials","Equity","2,826,964.71","0.15","2,826,964.71","92,306.00","30.63","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"HINDCOPPER","HINDUSTAN COPPER LTD","Materials","Equity","2,754,414.05","0.15","2,754,414.05","333,260.00","8.27","India","National Stock Exchange Of India","USD","91.96","INR","-"
"SGM","SIMS LTD","Materials","Equity","2,740,928.80","0.14","2,740,928.80","191,660.00","14.30","Australia","Asx - All Markets","USD","1.43","AUD","-"
"5741","UACJ CORP","Materials","Equity","2,720,955.33","0.14","2,720,955.33","167,752.00","16.22","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"EREGL.E","EREGLI DEMIR VE CELIK FABRIKALARI","Materials","Equity","2,648,631.64","0.14","2,648,631.64","4,038,489.00","0.66","Turkey","Istanbul Stock Exchange","USD","43.42","TRY","-"
"OUT1V","OUTOKUMPU","Materials","Equity","2,488,127.26","0.13","2,488,127.26","439,834.00","5.66","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.84","EUR","-"
"KALU","KAISER ALUMINIUM CORP","Materials","Equity","2,355,508.28","0.12","2,355,508.28","18,559.00","126.92","United States","NASDAQ","USD","1.00","USD","-"
"VZLA","VIZSLA SILVER CORP","Materials","Equity","2,321,116.48","0.12","2,321,116.48","399,288.00","5.81","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"004020","HYUNDAI STEEL","Materials","Equity","2,215,778.56","0.12","2,215,778.56","100,156.00","22.12","Korea (South)","Korea Exchange (Stock Market)","USD","1,426.10","KRW","-"
"APAM","APERAM SA","Materials","Equity","2,207,616.29","0.12","2,207,616.29","51,092.00","43.21","France","Euronext Amsterdam","USD","0.84","EUR","-"
"USA","AMERICAS GOLD AND SILVER","Materials","Equity","2,190,758.22","0.12","2,190,758.22","253,819.00","8.63","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"3939","WANGUO GOLD GROUP LTD","Materials","Equity","2,180,173.11","0.12","2,180,173.11","1,246,500.00","1.75","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"IE","IVANHOE ELECTRIC INC","Materials","Equity","2,148,491.52","0.11","2,148,491.52","107,856.00","19.92","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"MDKA","MERDEKA COPPER GOLD","Materials","Equity","2,139,243.39","0.11","2,139,243.39","11,301,886.00","0.19","Indonesia","Indonesia Stock Exchange","USD","16,747.50","IDR","-"
"GRNG","GRANGES","Materials","Equity","2,134,309.71","0.11","2,134,309.71","123,457.00","17.29","Sweden","Nasdaq Omx Nordic","USD","8.86","SEK","-"
