Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"600549","XIAMEN TUNGSTEN LTD A","Materials","Equity","930,472.65","0.05","930,472.65","107,799.00","8.63","China","Shanghai Stock Exchange","USD","6.95","CNY","-"
"001430","SEAH BESTEEL HDS CORP","Materials","Equity","926,398.08","0.05","926,398.08","18,073.00","51.26","Korea (South)","Korea Exchange (Stock Market)","USD","1,426.10","KRW","-"
"RYI","RYERSON HOLDING CORP","Materials","Equity","924,684.74","0.05","924,684.74","32,767.00","28.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"002532","TIANSHAN ALUMINUM GROUP LTD A","Materials","Equity","917,788.11","0.05","917,788.11","311,260.00","2.95","China","Shenzhen Stock Exchange","USD","6.95","CNY","-"
"INCO","VALE INDONESIA","Materials","Equity","907,596.95","0.05","907,596.95","2,491,800.00","0.36","Indonesia","Indonesia Stock Exchange","USD","16,747.50","IDR","-"
"SMR","STANMORE RESOURCES LTD","Materials","Equity","904,562.71","0.05","904,562.71","427,732.00","2.11","Australia","Asx - All Markets","USD","1.43","AUD","-"
"MTUS","METALLUS INC","Materials","Equity","891,594.84","0.05","891,594.84","44,894.00","19.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"METC","RAMACO RESOURCES INC CLASS A","Materials","Equity","891,121.31","0.05","891,121.31","44,623.00","19.97","United States","NASDAQ","USD","1.00","USD","-"
"ERA","ERAMET SA","Materials","Equity","872,848.59","0.05","872,848.59","9,602.00","90.90","France","Nyse Euronext - Euronext Paris","USD","0.84","EUR","-"
"VIO","VIOHALCO SA","Materials","Equity","863,955.86","0.05","863,955.86","54,865.00","15.75","Greece","Athens Exchange S.A. Cash Market","USD","0.84","EUR","-"
"WELCORP","WELSPUN CORP LTD","Materials","Equity","859,589.98","0.05","859,589.98","106,368.00","8.08","India","National Stock Exchange Of India","USD","91.96","INR","-"
"NB","NIOCORP DEVELOPMENTS LTD","Materials","Equity","840,744.39","0.04","840,744.39","130,247.00","6.46","United States","NASDAQ","USD","1.00","USD","-"
"9958","CENTURY IRON AND STEEL INDUSTRIAL","Materials","Equity","833,879.61","0.04","833,879.61","183,000.00","4.56","Taiwan","Taiwan Stock Exchange","USD","31.27","TWD","-"
"600673","GUANGDONG HEC TECHNOLOGY HOLDING L","Materials","Equity","831,328.03","0.04","831,328.03","212,100.00","3.92","China","Shanghai Stock Exchange","USD","6.95","CNY","-"
"000933","HENAN SHENHUO COAL & POWER LTD A","Materials","Equity","795,397.28","0.04","795,397.28","157,100.00","5.06","China","Shenzhen Stock Exchange","USD","6.95","CNY","-"
"SXC","SUNCOKE ENERGY INC","Materials","Equity","794,754.30","0.04","794,754.30","100,095.00","7.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USHAMART","USHA MARTIN LTD","Materials","Equity","786,118.87","0.04","786,118.87","176,967.00","4.44","India","National Stock Exchange Of India","USD","91.96","INR","-"
"GPIL","GODAWARI POWER AND ISPAT LTD","Materials","Equity","776,563.74","0.04","776,563.74","277,168.00","2.80","India","National Stock Exchange Of India","USD","91.96","INR","-"
"WA1","WA1 RESOURCES LTD","Materials","Equity","755,092.35","0.04","755,092.35","60,305.00","12.52","Australia","Asx - All Markets","USD","1.43","AUD","-"
"TMQ","TRILOGY METALS INC","Materials","Equity","750,468.70","0.04","750,468.70","124,870.00","6.01","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"TRMET.E","TR ANADOLU METAL MADENCILIK ISLETM","Materials","Equity","732,620.09","0.04","732,620.09","209,164.00","3.50","Turkey","Istanbul Stock Exchange","USD","43.42","TRY","-"
"USIM5","USINAS SIDERURGICAS DE MINAS GERAI","Materials","Equity","731,832.67","0.04","731,832.67","577,480.00","1.27","Brazil","XBSP","USD","5.23","BRL","-"
"CAP","CAP SA","Materials","Equity","719,597.96","0.04","719,597.96","76,139.00","9.45","Chile","Santiago Stock Exchange","USD","866.57","CLP","-"
"RATNAMANI","RATNAMANI METALS AND TUBES LTD","Materials","Equity","713,364.46","0.04","713,364.46","32,252.00","22.12","India","National Stock Exchange Of India","USD","91.96","INR","-"
"826","TIANGONG INTERNATIONAL LTD","Materials","Equity","712,407.26","0.04","712,407.26","1,584,000.00","0.45","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"1321","EAST PIPES INTEGRATED COMPANY FOR","Materials","Equity","703,638.39","0.04","703,638.39","17,339.00","40.58","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"5482","AICHI STEEL CORP","Materials","Equity","693,892.11","0.04","693,892.11","34,100.00","20.35","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"601958","JINDUICHENG MOLYBDENUM LTD A","Materials","Equity","682,452.11","0.04","682,452.11","208,100.00","3.28","China","Shanghai Stock Exchange","USD","6.95","CNY","-"
"GRAVITA","GRAVITA INDIA LTD","Materials","Equity","675,628.74","0.04","675,628.74","38,260.00","17.66","India","National Stock Exchange Of India","USD","91.96","INR","-"
"2211","EVERGREEN STEEL CORP","Materials","Equity","655,432.09","0.03","655,432.09","199,000.00","3.29","Taiwan","Taiwan Stock Exchange","USD","31.27","TWD","-"
"KRDMD.E","KARDEMIR KARABUK DEMIR CELIK SANAY","Materials","Equity","611,716.69","0.03","611,716.69","886,637.00","0.69","Turkey","Istanbul Stock Exchange","USD","43.42","TRY","-"
"5423","TOKYO STEEL MANUFACTURING LTD","Materials","Equity","605,323.39","0.03","605,323.39","61,800.00","9.79","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"323","MAANSHAN IRON AND STEEL LTD H","Materials","Equity","596,873.52","0.03","596,873.52","1,646,000.00","0.36","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"ABAT","AMERICAN BATTERY TECHNOLOGY COMPAN","Materials","Equity","592,280.64","0.03","592,280.64","137,102.00","4.32","United States","NASDAQ","USD","1.00","USD","-"
"000831","CHINA RARE EARTH RESOURCES AND TEC","Materials","Equity","580,839.57","0.03","580,839.57","68,900.00","8.43","China","Shenzhen Stock Exchange","USD","6.95","CNY","-"
"2014","CHUNG HUNG STEEL CORP","Materials","Equity","572,587.74","0.03","572,587.74","955,000.00","0.60","Taiwan","Taiwan Stock Exchange","USD","31.27","TWD","-"
"688122","WESTERN SUPERCONDUCTING TECHNOLOGI","Materials","Equity","542,929.19","0.03","542,929.19","42,889.00","12.66","China","Shanghai Stock Exchange","USD","6.95","CNY","-"
"5009","GLORIA MATERIAL TECHNOLOGY CORP","Materials","Equity","537,267.57","0.03","537,267.57","478,000.00","1.12","Taiwan","Gretai Securities Market","USD","31.27","TWD","-"
"SARDAEN","SARDA ENERGY AND MINERALS LTD","Materials","Equity","530,553.24","0.03","530,553.24","100,091.00","5.30","India","National Stock Exchange Of India","USD","91.96","INR","-"
"532527","RAMKRISHNA FORGINGS LTD","Materials","Equity","516,932.38","0.03","516,932.38","93,604.00","5.52","India","Bse Ltd","USD","91.96","INR","-"
"000708","CITIC PACIFIC SPECIAL STEEL GROUP","Materials","Equity","516,400.09","0.03","516,400.09","225,800.00","2.29","China","Shenzhen Stock Exchange","USD","6.95","CNY","-"
"JINDALSAW","JINDAL SAW LTD","Materials","Equity","501,937.73","0.03","501,937.73","261,015.00","1.92","India","National Stock Exchange Of India","USD","91.96","INR","-"
"BRSAN.E","BORUSAN MANNESMANN BORU SANAYI VE","Materials","Equity","464,442.90","0.02","464,442.90","30,862.00","15.05","Turkey","Istanbul Stock Exchange","USD","43.42","TRY","-"
"JSW","JASTRZEBSKA SPOLKA WEGLOWA SA","Materials","Equity","451,608.96","0.02","451,608.96","59,842.00","7.55","Poland","Warsaw Stock Exchange/Equities/Main Market","USD","3.53","PLN","-"
"2023","YIEH PHUI ENTERPRISE LTD","Materials","Equity","433,334.59","0.02","433,334.59","882,831.00","0.49","Taiwan","Taiwan Stock Exchange","USD","31.27","TWD","-"
"000932","HUNAN VALIN STEEL LTD A","Materials","Equity","421,974.14","0.02","421,974.14","467,900.00","0.90","China","Shenzhen Stock Exchange","USD","6.95","CNY","-"
"VSL","VULCAN STEEL LTD","Materials","Equity","419,985.23","0.02","419,985.23","86,086.00","4.88","Australia","Asx - All Markets","USD","1.43","AUD","-"
"NSLNISP","NMDC STEEL LTD","Materials","Equity","414,726.00","0.02","414,726.00","875,728.00","0.47","India","National Stock Exchange Of India","USD","91.96","INR","-"
"2240","ADVANCED BUILDING INDUSTRIES","Materials","Equity","366,146.78","0.02","366,146.78","33,907.00","10.80","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"500245","KIRLOSKAR FERROUS INDUSTRIES LTD","Materials","Equity","363,293.35","0.02","363,293.35","74,547.00","4.87","India","Bse Ltd","USD","91.96","INR","-"
"SANDUMA","SANDUR MANGANESE AND IRON ORES LTD","Materials","Equity","334,057.14","0.02","334,057.14","133,026.00","2.51","India","National Stock Exchange Of India","USD","91.96","INR","-"
"5440","KYOEI STEEL LTD","Materials","Equity","315,019.47","0.02","315,019.47","19,000.00","16.58","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"3833","XINJIANG XINXIN MINING INDUSTRY LT","Materials","Equity","297,685.89","0.02","297,685.89","777,000.00","0.38","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"MOIL","MOIL LTD","Materials","Equity","296,099.00","0.02","296,099.00","71,873.00","4.12","India","National Stock Exchange Of India","USD","91.96","INR","-"
"600985","HUAIBEI MINING HOLDINGS LTD A","Materials","Equity","294,597.55","0.02","294,597.55","163,200.00","1.81","China","Shanghai Stock Exchange","USD","6.95","CNY","-"
"BRE","BRAZILIAN RARE EARTHS LTD","Materials","Equity","278,861.87","0.01","278,861.87","100,895.00","2.76","Australia","Asx - All Markets","USD","1.43","AUD","-"
"FESA4","FERBASA PREF","Materials","Equity","274,092.22","0.01","274,092.22","178,131.00","1.54","Brazil","XBSP","USD","5.23","BRL","-"
"5449","OSAKA STEEL LTD","Materials","Equity","272,234.76","0.01","272,234.76","13,400.00","20.32","Japan","Tokyo Stock Exchange","USD","152.84","JPY","-"
"1320","SAUDI STEEL PIPE","Materials","Equity","262,968.46","0.01","262,968.46","23,985.00","10.96","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"MAHSEAMLES","MAHARASHTRA SEAMLESS LTD","Materials","Equity","259,290.41","0.01","259,290.41","46,098.00","5.62","India","National Stock Exchange Of India","USD","91.96","INR","-"
"MIDHANI","MISHRA DHATU NIGAM LTD","Materials","Equity","213,155.89","0.01","213,155.89","50,585.00","4.21","India","National Stock Exchange Of India","USD","91.96","INR","-"
"SURYAROSNI","SURYA ROSHNI LTD","Materials","Equity","204,005.42","0.01","204,005.42","76,776.00","2.66","India","National Stock Exchange Of India","USD","91.96","INR","-"
"JAIBALAJI","JAI BALAJI INDUSTRIES LTD","Materials","Equity","159,979.74","0.01","159,979.74","213,274.00","0.75","India","National Stock Exchange Of India","USD","91.96","INR","-"
"2362","JINCHUAN GROUP INTERNATIONAL RESOU","Materials","Equity","157,320.45","0.01","157,320.45","2,398,000.00","0.07","China","Hong Kong Exchanges And Clearing Ltd","USD","7.80","HKD","-"
"TTST","TATA STEEL GDR LTD","Materials","Equity","125,461.70","0.01","125,461.70","5,677.00","22.10","India","London Stock Exchange","USD","1.00","USD","-"
